name,bbl,shape_area,construction_year,ground_elevation,mappluto_bbl,objectid,feature_code,shape_length,height_roof,last_status_type,bin,last_edited_date,geom_source,doitt_id,pv_kw_dc,annual_kwh,avg_daily_kwh,psh_daily_kwh,canopy_area_m2,address,bldgclass,roof_area_m2_actual,numfloors,yearbuilt,lon,lat
,1004140059.0,363.8515625,1910,39,1002990022,926620,2100,94.945389036341624,66.75,Constructed,1003865,2017-08-22 19:03:41+00:00,Photogrammetric,122478,36.13221621079264,44731.68366896129,120.40944795659344,132.96655565571692,180.6610810539632,260 BROOME STREET,C7,,,,-73.99168971271844,40.71579738642718
,1004130012.0,258.26953125,1930,41,1003000005,336415,2100,88.71680061684313,64.58,Constructed,1003878,2017-08-22 18:02:10+00:00,Photogrammetric,170223,40.86146338531299,50586.49167101748,85.46400606929181,150.3701852579518,204.3073169265649,281 BROOME STREET,C7,,6.0,1900.0,-73.99292541833987,40.715810184656746
,1003850050.0,254.5078125,1930,42,1003000006,562021,2100,88.512460991053189,63.18,Constructed,1003879,2017-08-22 17:56:25+00:00,Photogrammetric,567829,31.169663557681247,38588.04348440938,84.2218310536627,114.704361892267,155.84831778840623,240 EAST 2 STREET,C4,,6.0,1910.0,-73.99289331978174,40.715874261900616
,1003850054.0,315.515625,1910,41,1003000007,214879,2100,99.676693637491169,64.44,Constructed,1003880,2017-08-22 18:03:49+00:00,Photogrammetric,227068,29.347741770612117,36332.504312017794,104.40215015616558,107.99968971585255,146.73870885306056,232 EAST 2 STREET,C4,,6.0,1910.0,-73.99283608481768,40.71593080963599
,1003500077.0,252.5546875,1910,37,1003090025,580703,2100,89.065964617670829,67.69,Constructed,1004018,2017-08-22 19:30:15+00:00,Photogrammetric,315007,20.035953467396062,24804.51039263633,83.57092811582164,73.73230876001752,100.17976733698032,182 STANTON STREET,C4,,6.0,1920.0,-73.9904836748306,40.716409322705516
,1003450029.0,285.203125,1910,37,1003080024,702216,2100,96.10408146663211,61.27,Constructed,1003992,2017-08-22 18:26:48+00:00,Photogrammetric,594652,26.33075180117048,32597.470729849058,94.37634310085326,96.89716662830736,131.6537590058524,200 STANTON STREET,C7,,6.0,1920.0,-73.99134270391306,40.71644573443254
,1003440154.0,262.51171875,1900,37,1003090024,503186,2100,79.403428950424754,70.81,Constructed,1004017,2017-08-22 19:11:58+00:00,Photogrammetric,377959,57.52431521044284,71215.10223052822,86.86998196102792,211.6894799744296,287.6215760522141,141 ATTORNEY STREET,C6,,6.0,1920.0,-73.99044291057912,40.71646660582881
,1003440068.0,275.09375,1913,39,1003060035,890765,2100,77.479419585176316,67.39,Constructed,1003971,2017-08-22 17:28:04+00:00,Photogrammetric,106804,31.01207627204027,38392.95042478586,91.03105420241248,114.1244406811082,155.06038136020135,85 PITT STREET,C7,,6.0,1920.0,-73.99291185299752,40.71664773693763
,1003720001.0,296.99609375,1910,38,1003090008,894260,2100,77.613905230756473,60.22,Constructed,1004002,2017-08-22 19:04:12+00:00,Photogrammetric,145340,54.58194125973481,67572.44327955169,98.2798583952643,200.8615438358241,272.90970629867405,14 AVENUE C,C7,,6.0,1920.0,-73.99072741951241,40.716701321343685
,1003500051.0,417.78125,1910,41,1003060001,1063336,2100,102.65582215079813,67,Constructed,1003946,2017-08-22 18:31:41+00:00,Other (Manual),546360,42.34863536612727,52427.61058326556,138.24670271734422,155.84297814734836,211.74317683063637,299 EAST HOUSTON STREET,C7,,6.0,1920.0,-73.99341068844862,40.716803771625784
,1003440073.0,388.44921875,1900,42,1002920025,1063942,2100,102.09559912967798,62,Constructed,1003770,2017-08-22 17:57:24+00:00,Other (Manual),609605,50.660306288649046,62717.45918534752,128.5501036119763,186.4299271422285,253.3015314432452,202 RIVINGTON STREET,C7,,6.0,1920.0,-73.99394569561257,40.714859982525745
